total_shots,num_flagged,num_discarded,num_incorrect
1000000,8476,0,20
1000000,8697,0,20
1000000,8625,0,18
1000000,8671,0,17
1000000,8729,0,17
1000000,8702,0,16
1000000,8685,0,12
1000000,8620,0,19
1000000,8625,0,21
1000000,8591,0,13
1000000,8691,0,9
1000000,8599,0,10
1000000,8685,0,13
1000000,8723,0,19
1000000,8647,0,13
1000000,8561,0,21
1000000,8570,0,12
1000000,8691,0,15
1000000,8523,0,9
1000000,8570,0,21
1000000,8820,0,17
1000000,8602,0,9
1000000,8751,0,13
1000000,8729,0,14
1000000,8613,0,19
1000000,8584,0,23
1000000,8641,0,15
1000000,8643,0,15
1000000,8751,0,13
1000000,8718,0,20
1000000,8716,0,19
1000000,8844,0,17
1000000,8809,0,16
1000000,8796,0,11
1000000,8631,0,15
1000000,8642,0,17
1000000,8607,0,15
1000000,8518,0,14
1000000,8783,0,13
1000000,8621,0,11
1000000,8622,0,16
1000000,8524,0,14
1000000,8627,0,15
1000000,8667,0,14
1000000,8475,0,19
1000000,8749,0,10
1000000,8566,0,16
1000000,8605,0,10
1000000,8748,0,7
1000000,8685,0,18
1000000,8538,0,21
1000000,8475,0,8
1000000,8603,0,15
1000000,8701,0,10
1000000,8516,0,14
1000000,8716,0,24
1000000,8682,0,15
1000000,8764,0,10
1000000,8606,0,11
1000000,8784,0,10
1000000,8734,0,25
1000000,8758,0,14
1000000,8641,0,15
1000000,8658,0,14
1000000,8698,0,20
1000000,8682,0,15
1000000,8719,0,15
1000000,8684,0,8
1000000,8691,0,11
1000000,8744,0,15
1000000,8571,0,19
1000000,8681,0,15
1000000,8674,0,10
1000000,8638,0,17
1000000,8377,0,18
1000000,8488,0,17
1000000,8542,0,23
1000000,8495,0,23
1000000,8677,0,15
1000000,8568,0,14
1000000,8589,0,14
1000000,8728,0,21
1000000,8674,0,17
1000000,8569,0,21
1000000,8599,0,11
1000000,8616,0,17
1000000,8630,0,15
1000000,8849,0,18
1000000,8667,0,17
1000000,8705,0,15
1000000,8642,0,20
1000000,8765,0,10
1000000,8711,0,10
1000000,8619,0,13
1000000,8554,0,14
1000000,8676,0,25
1000000,8569,0,16
1000000,8519,0,21
1000000,8734,0,19
1000000,8751,0,19
1000000,8495,0,16
1000000,8632,0,23
1000000,8500,0,15
1000000,8501,0,20
1000000,8612,0,25
1000000,8578,0,18
1000000,8529,0,13
1000000,8587,0,16
1000000,8597,0,18
1000000,8638,0,16
1000000,8861,0,18
1000000,8652,0,19
1000000,8674,0,21
1000000,8585,0,13
1000000,8678,0,18
1000000,8712,0,18
1000000,8671,0,13
1000000,8548,0,21
1000000,8746,0,9
1000000,8445,0,13
1000000,8704,0,15
1000000,8679,0,11
1000000,8557,0,24
1000000,8782,0,13
1000000,8724,0,19
1000000,8597,0,25
1000000,8661,0,14
1000000,8721,0,12
1000000,8766,0,15
1000000,8684,0,22
1000000,8750,0,18
1000000,8714,0,21
1000000,8636,0,9
1000000,8764,0,23
1000000,8654,0,24
1000000,8556,0,12
1000000,8802,0,10
1000000,8817,0,17
1000000,8759,0,14
1000000,8639,0,14
1000000,8627,0,14
1000000,8555,0,13
1000000,8661,0,17
1000000,8765,0,17
1000000,8573,0,17
1000000,8736,0,20
1000000,8656,0,19
1000000,8723,0,11
1000000,8610,0,18
1000000,8677,0,22
