total_shots,num_flagged,num_discarded,num_incorrect
1000000,8861,0,20
1000000,8937,0,24
1000000,8768,0,26
1000000,8671,0,15
1000000,8788,0,14
1000000,8897,0,9
1000000,8566,0,23
1000000,8836,0,22
1000000,8690,0,14
1000000,8609,0,22
1000000,8729,0,20
1000000,8705,0,15
1000000,8668,0,18
1000000,8746,0,16
1000000,8619,0,17
1000000,8847,0,22
1000000,8614,0,20
1000000,8851,0,15
1000000,8793,0,19
1000000,8833,0,17
1000000,8738,0,17
1000000,8777,0,13
1000000,8659,0,24
1000000,8582,0,18
1000000,8799,0,20
1000000,8681,0,19
1000000,8775,0,15
1000000,8677,0,12
1000000,8786,0,12
1000000,8886,0,21
1000000,8628,0,17
1000000,8850,0,19
1000000,8788,0,18
1000000,8625,0,15
1000000,8711,0,18
1000000,8609,0,17
1000000,8584,0,11
1000000,8817,0,13
1000000,8750,0,14
1000000,8697,0,19
1000000,8589,0,12
1000000,8680,0,20
1000000,8659,0,15
1000000,8706,0,14
1000000,8743,0,17
1000000,8761,0,17
1000000,8904,0,18
1000000,8746,0,14
1000000,8741,0,17
1000000,8925,0,17
1000000,8733,0,13
1000000,8805,0,15
1000000,8886,0,19
1000000,8640,0,18
1000000,8923,0,18
1000000,8975,0,23
1000000,8885,0,15
1000000,8697,0,20
1000000,8811,0,13
1000000,8759,0,10
1000000,8624,0,21
1000000,8724,0,10
1000000,8624,0,12
1000000,8814,0,14
1000000,8600,0,18
1000000,8775,0,19
1000000,8903,0,18
1000000,8787,0,16
1000000,8916,0,17
1000000,8701,0,19
1000000,8772,0,21
1000000,8828,0,15
1000000,8721,0,17
1000000,8643,0,17
1000000,8620,0,18
1000000,8567,0,9
1000000,8805,0,13
1000000,8707,0,11
1000000,8787,0,13
1000000,8818,0,15
1000000,8580,0,14
1000000,8829,0,11
1000000,8535,0,13
1000000,8826,0,16
1000000,8783,0,12
1000000,8719,0,22
1000000,8639,0,12
1000000,8645,0,11
1000000,8832,0,14
1000000,8682,0,13
1000000,8832,0,10
1000000,8639,0,20
1000000,8652,0,19
1000000,8603,0,23
1000000,8865,0,11
1000000,8723,0,19
1000000,8688,0,14
1000000,8722,0,20
1000000,8784,0,20
1000000,8936,0,12
1000000,8780,0,14
1000000,8852,0,7
1000000,8642,0,16
1000000,8646,0,22
1000000,8752,0,21
1000000,8758,0,5
1000000,8562,0,15
1000000,8734,0,22
1000000,8795,0,25
1000000,8715,0,14
1000000,8836,0,22
1000000,8684,0,20
1000000,8744,0,14
1000000,8788,0,13
1000000,8764,0,11
1000000,8779,0,18
1000000,8749,0,10
1000000,8870,0,15
1000000,8871,0,18
1000000,8779,0,20
1000000,8684,0,17
1000000,8720,0,14
1000000,8747,0,17
1000000,8684,0,17
1000000,8714,0,20
1000000,8684,0,15
1000000,8741,0,25
1000000,8633,0,19
1000000,8647,0,16
1000000,8720,0,9
1000000,8819,0,20
1000000,8652,0,21
1000000,8774,0,18
1000000,8827,0,20
1000000,8746,0,16
1000000,8816,0,16
1000000,8660,0,14
1000000,8830,0,12
1000000,8656,0,14
1000000,8654,0,16
1000000,8661,0,14
1000000,8784,0,9
1000000,8755,0,15
1000000,8637,0,14
1000000,8679,0,16
1000000,8787,0,22
1000000,8847,0,9
1000000,8687,0,17
1000000,8633,0,13
1000000,8589,0,17
1000000,8785,0,20
1000000,8719,0,13
1000000,8694,0,12
1000000,8690,0,19
1000000,8547,0,7
1000000,8890,0,17
1000000,8611,0,11
1000000,8636,0,15
1000000,8770,0,21
1000000,8802,0,17
1000000,8761,0,17
1000000,8900,0,16
1000000,8563,0,22
1000000,8744,0,12
1000000,8987,0,14
1000000,8759,0,11
1000000,8835,0,13
1000000,8874,0,14
1000000,8828,0,16
1000000,8768,0,16
1000000,8966,0,22
1000000,8912,0,17
1000000,8650,0,9
1000000,8731,0,13
1000000,8661,0,17
1000000,8614,0,11
1000000,8648,0,18
1000000,8803,0,15
1000000,8698,0,18
1000000,8906,0,11
1000000,8803,0,19
1000000,8652,0,15
1000000,8736,0,14
1000000,8767,0,19
1000000,8691,0,14
1000000,8765,0,16
1000000,8829,0,16
1000000,8635,0,16
1000000,8839,0,14
1000000,8737,0,15
1000000,8686,0,16
1000000,8819,0,18
1000000,8773,0,14
1000000,8900,0,12
1000000,8645,0,10
1000000,8646,0,9
1000000,8669,0,22
1000000,8674,0,21
1000000,8724,0,25
1000000,8775,0,18
1000000,8859,0,14
1000000,8731,0,17
1000000,8620,0,17
1000000,8703,0,16
1000000,8600,0,9
1000000,8787,0,13
1000000,8869,0,13
1000000,8620,0,17
1000000,8633,0,13
1000000,8916,0,13
1000000,8784,0,13
1000000,8775,0,17
1000000,8713,0,16
1000000,8917,0,18
1000000,8779,0,22
1000000,8671,0,18
1000000,8790,0,13
1000000,8822,0,19
1000000,8749,0,17
1000000,8941,0,20
1000000,8747,0,15
1000000,8816,0,16
1000000,8728,0,20
1000000,8852,0,9
1000000,8670,0,15
1000000,8639,0,16
1000000,8821,0,20
1000000,8664,0,23
1000000,9021,0,19
1000000,8791,0,15
1000000,8724,0,19
1000000,8689,0,25
1000000,8711,0,12
1000000,8685,0,18
1000000,8730,0,16
1000000,8721,0,19
1000000,8764,0,16
1000000,8600,0,21
1000000,8632,0,21
1000000,8855,0,20
1000000,8705,0,18
1000000,8641,0,17
1000000,8825,0,15
1000000,8669,0,10
1000000,8683,0,13
1000000,8911,0,18
1000000,8856,0,15
1000000,8691,0,21
1000000,8596,0,20
1000000,8635,0,13
1000000,8909,0,15
1000000,8693,0,17
1000000,8752,0,22
1000000,8875,0,10
1000000,8763,0,21
1000000,8621,0,21
1000000,8592,0,15
1000000,8801,0,13
1000000,8762,0,21
1000000,8644,0,11
1000000,8687,0,10
1000000,8787,0,16
1000000,8879,0,17
1000000,8833,0,15
1000000,8769,0,15
1000000,8997,0,20
1000000,8783,0,11
1000000,8778,0,19
1000000,8822,0,8
1000000,8854,0,16
1000000,8684,0,16
1000000,8949,0,16
1000000,8671,0,18
1000000,8745,0,19
1000000,8731,0,11
1000000,8675,0,20
1000000,8673,0,17
1000000,8698,0,28
1000000,8691,0,12
1000000,8964,0,16
1000000,8853,0,12
1000000,8734,0,15
1000000,8794,0,17
1000000,8838,0,15
1000000,8882,0,13
1000000,8875,0,22
1000000,8751,0,15
1000000,8738,0,13
1000000,8815,0,14
1000000,8865,0,13
1000000,8749,0,15
1000000,8618,0,17
1000000,8602,0,20
1000000,8780,0,21
1000000,8843,0,14
1000000,8726,0,17
1000000,8555,0,17
1000000,8753,0,16
1000000,8898,0,14
1000000,8757,0,17
1000000,8851,0,24
1000000,8747,0,13
1000000,8813,0,22
1000000,8648,0,12
1000000,8842,0,9
1000000,8723,0,21
1000000,8964,0,22
1000000,8732,0,17
1000000,8767,0,9
1000000,8822,0,16
1000000,8532,0,19
1000000,8779,0,19
1000000,8603,0,22
1000000,8753,0,18
1000000,8666,0,9
1000000,8656,0,15
1000000,8877,0,18
1000000,8795,0,21
1000000,8859,0,17
1000000,8741,0,19
1000000,8718,0,25
1000000,8737,0,16
1000000,8519,0,17
1000000,8576,0,21
1000000,8660,0,22
1000000,8740,0,7
1000000,8835,0,16
1000000,8643,0,15
1000000,8906,0,14
1000000,8731,0,14
1000000,8757,0,20
1000000,8732,0,24
1000000,8799,0,19
1000000,8786,0,16
1000000,8872,0,21
1000000,8673,0,18
1000000,8861,0,7
1000000,8596,0,14
1000000,8677,0,19
1000000,8723,0,13
1000000,8750,0,13
1000000,8879,0,17
1000000,8783,0,19
1000000,8762,0,14
1000000,8734,0,15
1000000,8600,0,14
1000000,8548,0,13
1000000,8778,0,20
1000000,8856,0,23
1000000,8770,0,10
1000000,8779,0,17
1000000,8607,0,6
1000000,8838,0,18
1000000,8792,0,17
1000000,8794,0,9
1000000,8731,0,11
1000000,8768,0,23
1000000,8796,0,19
1000000,8740,0,15
1000000,8716,0,19
1000000,8760,0,15
1000000,8680,0,13
1000000,8849,0,14
1000000,8623,0,10
1000000,8681,0,15
1000000,8691,0,15
1000000,8602,0,13
1000000,8734,0,18
1000000,8957,0,13
1000000,8779,0,7
1000000,8762,0,18
1000000,8826,0,15
1000000,8701,0,17
1000000,8721,0,16
1000000,8789,0,24
1000000,8809,0,12
1000000,8613,0,10
1000000,8753,0,15
1000000,8804,0,15
1000000,8778,0,18
1000000,8983,0,16
1000000,8713,0,16
1000000,8745,0,17
1000000,8625,0,17
1000000,8763,0,18
1000000,8757,0,23
1000000,8715,0,16
1000000,8703,0,14
1000000,8734,0,13
1000000,8772,0,22
1000000,8669,0,18
1000000,8823,0,18
1000000,8890,0,13
1000000,8858,0,14
1000000,8773,0,10
1000000,8689,0,22
1000000,8732,0,15
1000000,8581,0,18
1000000,8752,0,10
1000000,8800,0,16
1000000,8762,0,13
1000000,8903,0,13
1000000,8774,0,12
1000000,8805,0,19
1000000,8689,0,13
1000000,8767,0,14
1000000,8700,0,20
1000000,8758,0,25
1000000,8773,0,11
1000000,8682,0,15
1000000,8744,0,18
1000000,8748,0,16
1000000,8744,0,10
1000000,8750,0,16
1000000,8737,0,9
1000000,8831,0,24
1000000,8657,0,19
1000000,8881,0,20
1000000,8716,0,17
1000000,8964,0,23
1000000,8763,0,20
1000000,8683,0,14
1000000,8755,0,14
1000000,8637,0,12
1000000,8807,0,14
1000000,8757,0,23
1000000,8632,0,12
1000000,8780,0,13
1000000,8747,0,15
1000000,8733,0,10
1000000,8736,0,18
1000000,8804,0,9
1000000,8746,0,18
1000000,8552,0,15
1000000,8680,0,16
1000000,8674,0,14
1000000,8688,0,17
1000000,8695,0,27
1000000,8665,0,14
1000000,8753,0,21
1000000,8754,0,21
1000000,8788,0,15
1000000,8823,0,18
1000000,8550,0,17
1000000,8731,0,17
1000000,8805,0,20
1000000,8475,0,21
1000000,8689,0,22
1000000,8725,0,22
1000000,8612,0,14
1000000,8689,0,22
1000000,8652,0,13
1000000,8726,0,11
1000000,8781,0,17
1000000,8832,0,24
1000000,8717,0,20
1000000,8697,0,13
1000000,9030,0,13
1000000,8728,0,20
1000000,8842,0,18
1000000,8775,0,15
1000000,8819,0,10
1000000,8787,0,17
1000000,8826,0,23
1000000,8710,0,16
1000000,8758,0,14
1000000,8747,0,12
1000000,8612,0,26
1000000,8688,0,14
1000000,8693,0,15
1000000,8737,0,20
1000000,8679,0,13
1000000,8765,0,16
1000000,8681,0,9
1000000,8665,0,9
1000000,8824,0,19
1000000,8829,0,13
1000000,8665,0,15
1000000,8775,0,13
1000000,8661,0,17
1000000,8678,0,11
1000000,8624,0,15
1000000,8773,0,19
1000000,8657,0,14
1000000,8641,0,15
1000000,8896,0,9
1000000,8791,0,18
1000000,8793,0,11
1000000,8688,0,19
1000000,8756,0,12
1000000,8849,0,21
1000000,8775,0,14
1000000,8692,0,16
1000000,8775,0,16
1000000,8801,0,16
1000000,8788,0,19
1000000,8712,0,16
1000000,8740,0,15
1000000,8745,0,13
1000000,8714,0,18
1000000,8731,0,21
1000000,8786,0,16
1000000,8701,0,14
1000000,8625,0,20
1000000,8848,0,17
1000000,8694,0,17
1000000,8855,0,26
1000000,8595,0,15
1000000,8810,0,19
1000000,8821,0,17
1000000,8676,0,17
1000000,8717,0,21
1000000,8658,0,13
1000000,8797,0,14
1000000,8698,0,25
1000000,8817,0,23
1000000,8738,0,16
1000000,8668,0,19
1000000,8575,0,13
1000000,8704,0,12
1000000,8756,0,15
1000000,8750,0,15
1000000,8763,0,17
1000000,8772,0,14
1000000,8653,0,14
1000000,8706,0,24
1000000,8724,0,9
1000000,8542,0,17
1000000,8849,0,15
1000000,8702,0,21
1000000,8702,0,15
1000000,8644,0,26
1000000,8743,0,13
1000000,8553,0,25
1000000,8790,0,16
1000000,8633,0,20
1000000,8691,0,12
1000000,8715,0,21
1000000,8663,0,15
1000000,8731,0,18
1000000,8701,0,17
1000000,8566,0,22
1000000,8770,0,18
1000000,8740,0,8
1000000,8674,0,20
1000000,8503,0,16
1000000,8798,0,14
1000000,8668,0,21
1000000,8876,0,12
1000000,8563,0,17
1000000,8621,0,17
1000000,8687,0,15
1000000,8699,0,20
1000000,8700,0,18
1000000,8790,0,15
1000000,8933,0,16
1000000,8587,0,18
1000000,8705,0,22
1000000,8911,0,12
1000000,8727,0,12
1000000,8754,0,23
1000000,8680,0,19
1000000,8767,0,16
1000000,8756,0,18
1000000,8740,0,20
1000000,8941,0,21
1000000,8563,0,17
1000000,8712,0,13
1000000,8754,0,13
1000000,8728,0,17
1000000,8725,0,18
1000000,8859,0,20
1000000,8828,0,16
1000000,8823,0,21
1000000,8652,0,15
1000000,8735,0,15
1000000,8783,0,13
1000000,8828,0,20
1000000,8888,0,18
1000000,8695,0,12
1000000,8731,0,17
1000000,8726,0,17
1000000,8732,0,22
1000000,8798,0,11
1000000,8929,0,10
1000000,8842,0,21
1000000,8830,0,13
1000000,8795,0,17
1000000,8757,0,16
1000000,8986,0,16
1000000,8719,0,14
1000000,8664,0,9
1000000,8881,0,14
1000000,8718,0,20
1000000,8712,0,12
1000000,8661,0,15
1000000,8859,0,17
1000000,8666,0,14
1000000,8899,0,14
1000000,8858,0,21
1000000,8582,0,15
1000000,8766,0,19
1000000,8742,0,17
1000000,8708,0,12
1000000,8707,0,18
1000000,8606,0,21
1000000,8736,0,18
1000000,8697,0,18
1000000,8672,0,15
1000000,8654,0,22
1000000,8637,0,19
1000000,8653,0,18
1000000,8717,0,19
1000000,8753,0,20
1000000,8654,0,13
1000000,8759,0,16
1000000,8782,0,29
1000000,8644,0,17
1000000,8709,0,13
1000000,8742,0,17
1000000,8717,0,24
1000000,8633,0,12
1000000,8681,0,16
1000000,8688,0,13
1000000,8775,0,18
1000000,8817,0,12
1000000,8954,0,16
1000000,8770,0,18
1000000,8868,0,16
1000000,8789,0,16
1000000,8807,0,17
1000000,8795,0,17
1000000,8716,0,17
1000000,8855,0,12
1000000,8822,0,20
1000000,8625,0,19
1000000,8862,0,14
1000000,8762,0,22
1000000,8961,0,21
1000000,8590,0,11
1000000,8645,0,14
1000000,8888,0,16
1000000,8774,0,14
1000000,8690,0,16
1000000,8832,0,12
1000000,8688,0,16
1000000,8641,0,11
1000000,8917,0,17
1000000,8885,0,23
1000000,8724,0,12
1000000,8606,0,14
1000000,8718,0,12
1000000,8820,0,22
1000000,8856,0,12
1000000,8772,0,19
1000000,8719,0,12
1000000,8807,0,17
1000000,8856,0,19
1000000,8765,0,14
1000000,8834,0,22
1000000,8758,0,19
1000000,8781,0,17
1000000,8742,0,13
1000000,8875,0,23
1000000,8771,0,22
1000000,8874,0,19
1000000,8695,0,17
1000000,8886,0,11
1000000,8696,0,14
1000000,8686,0,16
1000000,8993,0,10
1000000,8610,0,16
1000000,8814,0,27
1000000,8795,0,13
1000000,8699,0,14
1000000,8754,0,12
1000000,8732,0,24
1000000,8720,0,19
1000000,8750,0,13
1000000,8723,0,19
1000000,8690,0,16
1000000,8721,0,21
1000000,8752,0,12
1000000,8624,0,18
1000000,8824,0,16
1000000,8724,0,17
1000000,8797,0,16
1000000,8703,0,26
1000000,8740,0,24
1000000,8685,0,14
1000000,8781,0,18
1000000,8769,0,21
1000000,8811,0,24
1000000,8660,0,12
1000000,8726,0,15
1000000,8656,0,24
1000000,8866,0,21
1000000,8674,0,18
1000000,8710,0,17
1000000,8631,0,19
1000000,8625,0,22
1000000,8692,0,18
1000000,8756,0,13
1000000,8846,0,16
1000000,8717,0,20
1000000,8841,0,20
1000000,8672,0,12
1000000,8797,0,13
1000000,8803,0,9
1000000,8777,0,22
1000000,8577,0,18
1000000,8770,0,20
1000000,8774,0,9
1000000,8734,0,20
1000000,8813,0,20
1000000,8817,0,16
1000000,8721,0,18
1000000,8738,0,15
1000000,8830,0,13
1000000,8852,0,14
1000000,8760,0,18
1000000,8776,0,19
1000000,8752,0,15
1000000,8579,0,17
1000000,8653,0,17
1000000,8899,0,20
1000000,8738,0,10
1000000,8761,0,15
1000000,8899,0,14
1000000,8834,0,17
1000000,8751,0,17
1000000,9001,0,12
1000000,8927,0,23
1000000,8883,0,12
1000000,8886,0,13
1000000,8635,0,17
1000000,8664,0,11
1000000,8805,0,11
1000000,8738,0,13
1000000,8742,0,18
1000000,8773,0,11
1000000,8709,0,10
1000000,8783,0,20
1000000,8777,0,17
1000000,8831,0,23
1000000,8557,0,15
1000000,8880,0,15
1000000,8542,0,19
1000000,8701,0,21
1000000,8633,0,9
1000000,8673,0,23
1000000,8889,0,11
1000000,8905,0,10
1000000,8789,0,13
1000000,8765,0,9
1000000,8724,0,14
1000000,8803,0,20
1000000,8627,0,14
1000000,8733,0,16
1000000,8890,0,17
1000000,8763,0,15
1000000,8699,0,17
1000000,8622,0,23
1000000,8798,0,12
1000000,8781,0,19
1000000,8673,0,19
1000000,8754,0,17
1000000,8807,0,14
1000000,8736,0,14
1000000,8761,0,7
1000000,8679,0,16
1000000,8680,0,15
1000000,8721,0,16
1000000,8664,0,14
1000000,8667,0,15
1000000,8597,0,10
1000000,8723,0,19
1000000,8744,0,19
1000000,8923,0,18
1000000,8634,0,16
1000000,8909,0,16
1000000,8546,0,16
1000000,8713,0,22
1000000,8654,0,16
1000000,8752,0,11
1000000,8766,0,16
1000000,8613,0,14
1000000,8843,0,13
1000000,8777,0,16
1000000,8891,0,16
1000000,8715,0,16
1000000,8635,0,21
1000000,8760,0,13
1000000,8779,0,21
1000000,8804,0,16
1000000,8589,0,13
1000000,8922,0,21
1000000,8750,0,15
1000000,8949,0,12
1000000,8771,0,13
1000000,8945,0,19
1000000,8580,0,21
1000000,8583,0,12
1000000,8891,0,25
1000000,8589,0,10
1000000,8807,0,7
1000000,8887,0,23
1000000,8715,0,14
1000000,8904,0,16
1000000,8655,0,14
1000000,8697,0,17
1000000,8804,0,19
1000000,8821,0,10
1000000,8924,0,20
1000000,8572,0,19
1000000,8804,0,18
1000000,9039,0,17
1000000,8690,0,16
1000000,8909,0,12
1000000,8659,0,18
1000000,8729,0,12
1000000,8852,0,15
1000000,8567,0,15
1000000,8762,0,16
1000000,8729,0,17
1000000,8766,0,21
1000000,8672,0,23
1000000,8615,0,18
1000000,8721,0,19
1000000,8613,0,23
1000000,8798,0,12
1000000,8715,0,19
1000000,8679,0,14
1000000,8664,0,11
1000000,8816,0,26
1000000,8804,0,19
1000000,8734,0,13
1000000,8673,0,21
1000000,8851,0,16
1000000,8763,0,7
1000000,8814,0,15
1000000,8718,0,19
1000000,8660,0,16
1000000,8689,0,18
1000000,8726,0,27
1000000,8842,0,14
1000000,8787,0,21
1000000,8731,0,18
1000000,8603,0,19
1000000,8671,0,19
1000000,8822,0,20
1000000,8816,0,21
1000000,8897,0,11
1000000,8762,0,9
1000000,8745,0,3
1000000,8787,0,10
1000000,8881,0,10
1000000,8654,0,8
1000000,8681,0,23
1000000,8852,0,22
1000000,8744,0,23
1000000,8683,0,14
1000000,8723,0,16
1000000,8783,0,18
1000000,8732,0,16
1000000,8635,0,17
1000000,8661,0,18
1000000,8653,0,17
1000000,8834,0,19
1000000,8754,0,21
1000000,8913,0,14
1000000,8812,0,22
1000000,8642,0,17
1000000,8797,0,15
1000000,8715,0,17
1000000,8888,0,13
1000000,8920,0,13
1000000,8677,0,19
1000000,9023,0,15
1000000,8730,0,13
1000000,8881,0,22
1000000,8764,0,21
1000000,8840,0,14
1000000,8824,0,19
1000000,8723,0,11
1000000,8831,0,10
1000000,8667,0,9
1000000,8709,0,12
1000000,8773,0,12
1000000,8590,0,18
1000000,8617,0,14
1000000,8681,0,16
1000000,8679,0,17
1000000,8774,0,14
1000000,8945,0,14
1000000,8808,0,15
1000000,8690,0,17
1000000,8739,0,21
1000000,8816,0,15
1000000,8634,0,21
1000000,8856,0,17
1000000,8711,0,20
1000000,8601,0,18
1000000,8822,0,18
1000000,8744,0,18
1000000,8693,0,16
1000000,8657,0,19
1000000,8856,0,16
1000000,8828,0,12
1000000,8665,0,7
1000000,8775,0,17
1000000,8678,0,17
1000000,8824,0,16
1000000,8673,0,9
1000000,8678,0,15
1000000,8757,0,23
1000000,8767,0,12
1000000,8761,0,23
1000000,8733,0,18
1000000,8753,0,25
1000000,8665,0,16
1000000,8636,0,15
1000000,8565,0,14
1000000,8667,0,13
1000000,8758,0,15
1000000,8663,0,15
