total_shots,num_flagged,num_discarded,num_incorrect
1000000,8715,0,18
1000000,8650,0,15
1000000,8743,0,26
1000000,8876,0,18
1000000,8743,0,17
1000000,8484,0,14
1000000,8709,0,15
1000000,8739,0,19
1000000,8658,0,15
1000000,8767,0,12
1000000,8762,0,14
1000000,8638,0,15
1000000,8610,0,13
1000000,8886,0,16
1000000,8720,0,20
1000000,8904,0,22
1000000,8649,0,20
1000000,8685,0,12
1000000,8812,0,13
1000000,8673,0,19
1000000,8658,0,20
1000000,8621,0,14
1000000,8648,0,11
1000000,8690,0,17
1000000,8607,0,24
1000000,8693,0,17
1000000,8758,0,16
1000000,8723,0,11
1000000,8791,0,17
1000000,8845,0,20
1000000,8538,0,13
1000000,8738,0,16
1000000,8862,0,17
1000000,8820,0,19
1000000,8864,0,16
1000000,8589,0,11
1000000,8789,0,13
1000000,8920,0,18
1000000,8740,0,10
1000000,8786,0,14
1000000,8733,0,18
1000000,8622,0,19
1000000,8745,0,12
1000000,8673,0,17
1000000,8729,0,16
1000000,8925,0,21
1000000,8852,0,24
1000000,8596,0,17
1000000,8876,0,12
1000000,8750,0,20
1000000,8776,0,19
1000000,8878,0,21
1000000,8718,0,17
1000000,8871,0,21
1000000,8700,0,12
1000000,8670,0,14
1000000,8632,0,19
1000000,8621,0,20
1000000,8741,0,15
1000000,8726,0,12
1000000,8775,0,15
1000000,8843,0,9
1000000,8751,0,20
1000000,8664,0,13
1000000,8679,0,14
1000000,8779,0,20
1000000,8818,0,20
1000000,8757,0,13
1000000,8753,0,13
1000000,8768,0,20
1000000,8691,0,16
1000000,8863,0,19
1000000,8687,0,17
1000000,8757,0,16
1000000,8621,0,12
1000000,8624,0,14
1000000,8684,0,12
1000000,8787,0,17
1000000,8777,0,11
1000000,8584,0,12
1000000,8763,0,15
1000000,8719,0,14
1000000,8734,0,14
1000000,8807,0,19
1000000,8904,0,19
1000000,8819,0,22
1000000,8868,0,24
1000000,8721,0,19
1000000,8905,0,16
1000000,8686,0,15
1000000,8640,0,18
1000000,8765,0,12
1000000,8709,0,12
1000000,8522,0,16
1000000,8663,0,26
1000000,8755,0,10
1000000,8736,0,19
1000000,8794,0,10
1000000,8805,0,15
1000000,8735,0,33
1000000,8837,0,15
1000000,8771,0,19
1000000,8742,0,16
1000000,8846,0,11
1000000,8884,0,14
1000000,8584,0,16
1000000,8812,0,16
1000000,8895,0,14
1000000,8653,0,18
1000000,8845,0,23
1000000,8853,0,12
1000000,8711,0,18
1000000,8701,0,18
1000000,8870,0,20
1000000,8718,0,17
1000000,8645,0,12
1000000,8727,0,18
1000000,8770,0,19
1000000,8745,0,20
1000000,8696,0,19
1000000,8718,0,19
1000000,8659,0,16
1000000,8682,0,22
1000000,8837,0,17
1000000,8828,0,14
1000000,8775,0,9
1000000,8645,0,14
1000000,8731,0,10
1000000,8722,0,13
1000000,8646,0,17
1000000,8796,0,14
1000000,8845,0,15
1000000,8767,0,19
1000000,8874,0,19
1000000,8831,0,15
1000000,8736,0,19
1000000,8800,0,10
1000000,8768,0,23
1000000,8705,0,13
1000000,8684,0,18
1000000,8799,0,14
1000000,8796,0,13
1000000,8874,0,13
1000000,8716,0,16
1000000,8785,0,5
1000000,8694,0,8
1000000,9000,0,16
1000000,8831,0,17
1000000,8658,0,22
1000000,8837,0,16
1000000,8738,0,16
1000000,8882,0,20
1000000,8766,0,23
1000000,8706,0,15
1000000,8745,0,15
1000000,8918,0,14
1000000,8848,0,17
1000000,8697,0,17
1000000,8776,0,14
1000000,8682,0,15
1000000,8629,0,18
1000000,8575,0,14
1000000,8731,0,25
1000000,8663,0,26
1000000,8733,0,15
1000000,8780,0,19
1000000,8905,0,23
1000000,8545,0,19
1000000,8849,0,20
1000000,8731,0,11
1000000,8662,0,24
1000000,8436,0,16
1000000,8795,0,18
1000000,8716,0,14
1000000,8790,0,18
1000000,8796,0,16
1000000,8806,0,22
1000000,9003,0,12
1000000,8618,0,22
1000000,8661,0,16
1000000,8930,0,19
1000000,8814,0,15
1000000,8730,0,16
1000000,8772,0,14
1000000,8623,0,14
1000000,8899,0,16
1000000,8766,0,13
1000000,8945,0,16
1000000,8797,0,20
1000000,8786,0,20
1000000,8734,0,18
1000000,8895,0,22
1000000,8837,0,17
1000000,8782,0,14
1000000,8648,0,11
1000000,8890,0,12
1000000,8659,0,13
1000000,8644,0,14
1000000,8636,0,17
1000000,8643,0,18
1000000,8687,0,18
1000000,8732,0,15
1000000,8772,0,14
1000000,8625,0,25
1000000,8856,0,18
1000000,8836,0,20
1000000,8811,0,15
1000000,8880,0,13
1000000,8902,0,17
1000000,8534,0,11
1000000,8760,0,27
1000000,8704,0,17
1000000,8695,0,14
1000000,8786,0,16
1000000,8779,0,15
1000000,8706,0,13
1000000,8660,0,13
1000000,8751,0,24
1000000,8669,0,13
1000000,8731,0,20
1000000,8809,0,20
1000000,8609,0,14
1000000,8570,0,16
1000000,8717,0,18
1000000,8758,0,18
1000000,8779,0,24
1000000,8814,0,15
1000000,8679,0,17
1000000,8847,0,17
1000000,8514,0,17
1000000,8688,0,13
1000000,8833,0,18
1000000,8638,0,18
1000000,8921,0,13
1000000,8882,0,18
1000000,8737,0,19
1000000,8714,0,8
1000000,8527,0,25
1000000,8718,0,18
1000000,8666,0,14
1000000,8624,0,12
1000000,8645,0,13
1000000,8780,0,17
1000000,8675,0,16
1000000,8715,0,14
1000000,8824,0,13
1000000,8810,0,12
1000000,8740,0,16
1000000,8733,0,13
1000000,8688,0,9
