total_shots,num_flagged,num_discarded,num_incorrect
1000000,8776,0,7
1000000,8861,0,20
1000000,8961,0,11
1000000,8754,0,10
1000000,8754,0,14
1000000,8704,0,15
1000000,8873,0,24
1000000,8673,0,17
1000000,8927,0,11
1000000,8889,0,28
1000000,8884,0,14
1000000,8794,0,17
1000000,8809,0,16
1000000,8781,0,17
1000000,8796,0,21
1000000,8865,0,8
1000000,8864,0,12
1000000,8878,0,18
1000000,8735,0,18
1000000,8866,0,13
1000000,8818,0,6
1000000,8913,0,12
1000000,8773,0,12
1000000,8826,0,17
1000000,8810,0,14
1000000,8712,0,14
1000000,8922,0,16
1000000,8837,0,21
1000000,8787,0,15
1000000,8841,0,13
1000000,8716,0,13
1000000,8641,0,26
1000000,8956,0,15
1000000,8761,0,16
1000000,8847,0,17
1000000,8870,0,14
1000000,8665,0,10
1000000,8719,0,23
1000000,8876,0,17
1000000,8920,0,11
1000000,8951,0,22
1000000,8812,0,17
1000000,8776,0,14
1000000,8639,0,13
1000000,8789,0,15
1000000,8811,0,10
1000000,8794,0,18
1000000,8913,0,12
1000000,8661,0,18
1000000,8840,0,13
1000000,8870,0,20
1000000,8794,0,19
1000000,8676,0,19
1000000,8826,0,10
1000000,8727,0,12
1000000,8849,0,20
1000000,8688,0,13
1000000,8797,0,20
1000000,8618,0,13
1000000,8746,0,13
1000000,8636,0,14
1000000,8723,0,22
1000000,8676,0,9
1000000,8793,0,15
1000000,8711,0,15
1000000,8827,0,20
1000000,8793,0,20
1000000,8759,0,16
1000000,8802,0,22
1000000,8878,0,19
1000000,8831,0,18
1000000,8845,0,19
1000000,8882,0,22
1000000,8727,0,21
1000000,8859,0,17
1000000,8870,0,14
1000000,8846,0,10
1000000,8773,0,16
1000000,8674,0,20
1000000,8781,0,9
1000000,8705,0,15
1000000,8704,0,22
1000000,8739,0,13
1000000,8674,0,12
1000000,8920,0,8
1000000,8853,0,19
1000000,8668,0,14
1000000,8672,0,20
1000000,8735,0,7
1000000,8842,0,20
1000000,8928,0,16
1000000,8658,0,22
1000000,8783,0,12
1000000,8845,0,13
1000000,8821,0,11
1000000,8753,0,11
1000000,8828,0,23
1000000,8938,0,14
1000000,8882,0,23
1000000,8792,0,13
