total_shots,num_flagged,num_discarded,num_incorrect
1000000,8909,0,14
1000000,8963,0,14
1000000,8829,0,9
1000000,8698,0,8
1000000,8798,0,11
1000000,8672,0,11
1000000,8811,0,12
1000000,8780,0,14
1000000,8917,0,10
1000000,8700,0,11
1000000,8827,0,8
1000000,8771,0,11
1000000,8807,0,6
1000000,8719,0,18
1000000,8771,0,10
1000000,8791,0,11
1000000,8976,0,16
1000000,8683,0,12
1000000,8852,0,16
1000000,8802,0,11
1000000,8824,0,8
1000000,8979,0,7
1000000,8804,0,7
1000000,8702,0,10
1000000,8877,0,10
1000000,8620,0,10
1000000,8738,0,16
1000000,8718,0,14
1000000,8713,0,9
1000000,8764,0,10
1000000,8850,0,7
1000000,8941,0,18
1000000,8900,0,7
1000000,8684,0,11
1000000,8751,0,14
1000000,8806,0,11
1000000,8706,0,14
1000000,8724,0,12
1000000,8791,0,15
1000000,8856,0,16
1000000,8841,0,8
1000000,8628,0,18
1000000,8670,0,10
1000000,8698,0,12
1000000,8865,0,9
1000000,8852,0,9
1000000,8932,0,13
1000000,8857,0,14
1000000,8815,0,9
1000000,8717,0,12
1000000,8813,0,10
1000000,8852,0,14
1000000,8717,0,9
1000000,8752,0,18
1000000,8947,0,8
1000000,8714,0,9
1000000,8779,0,11
1000000,8858,0,8
1000000,8673,0,9
1000000,8793,0,2
1000000,8764,0,8
1000000,8811,0,14
1000000,8875,0,16
1000000,8918,0,15
1000000,8626,0,11
1000000,8720,0,13
1000000,8803,0,14
1000000,8719,0,8
1000000,8862,0,11
1000000,8664,0,8
1000000,8789,0,11
1000000,8589,0,17
1000000,8745,0,7
1000000,8898,0,12
1000000,8804,0,11
1000000,8674,0,11
1000000,8910,0,16
1000000,8816,0,13
1000000,8746,0,15
1000000,9016,0,12
1000000,8784,0,9
1000000,8899,0,15
1000000,8789,0,12
1000000,8808,0,8
1000000,8762,0,5
1000000,8756,0,15
1000000,8799,0,10
1000000,8838,0,20
1000000,8771,0,11
1000000,8888,0,10
1000000,8763,0,9
1000000,8814,0,10
1000000,8747,0,7
1000000,8663,0,10
1000000,8639,0,10
1000000,8882,0,14
1000000,8628,0,14
1000000,8874,0,10
1000000,8733,0,8
1000000,8508,0,15
