total_shots,num_flagged,num_discarded,num_incorrect
1000000,8865,0,11
1000000,8744,0,9
1000000,8790,0,14
1000000,8938,0,4
1000000,8943,0,12
1000000,8741,0,12
1000000,8802,0,14
1000000,8726,0,12
1000000,8713,0,12
1000000,8831,0,10
1000000,8840,0,10
1000000,8681,0,6
1000000,8852,0,14
1000000,8931,0,7
1000000,8715,0,9
1000000,8921,0,14
1000000,8745,0,14
1000000,8738,0,13
1000000,8851,0,10
1000000,8801,0,13
1000000,8809,0,11
1000000,9050,0,11
1000000,8795,0,9
1000000,8835,0,10
1000000,8757,0,15
1000000,8912,0,12
1000000,8768,0,8
1000000,8785,0,8
1000000,8853,0,10
1000000,8710,0,10
1000000,8803,0,7
1000000,8844,0,13
1000000,8765,0,22
1000000,8865,0,12
1000000,8913,0,12
1000000,8829,0,8
1000000,8770,0,10
1000000,8847,0,13
1000000,8746,0,10
1000000,8837,0,8
1000000,8547,0,17
1000000,8778,0,8
1000000,8803,0,17
1000000,8891,0,10
1000000,8792,0,14
1000000,8813,0,14
1000000,8766,0,12
1000000,8916,0,9
1000000,8787,0,15
1000000,8679,0,11
1000000,9033,0,10
1000000,8762,0,8
1000000,8874,0,11
1000000,8736,0,8
1000000,8930,0,15
1000000,8692,0,15
1000000,8834,0,12
1000000,8849,0,9
1000000,8673,0,9
1000000,8693,0,13
1000000,8770,0,11
1000000,8667,0,13
1000000,8902,0,10
1000000,8839,0,13
1000000,8882,0,8
1000000,8638,0,8
1000000,8747,0,6
1000000,8801,0,11
1000000,8734,0,17
1000000,8821,0,13
1000000,8842,0,20
1000000,8811,0,14
1000000,8725,0,22
1000000,8641,0,10
1000000,8934,0,11
1000000,8926,0,8
1000000,8956,0,15
1000000,8807,0,9
1000000,8815,0,9
1000000,8858,0,9
1000000,8724,0,8
1000000,8864,0,8
1000000,8889,0,10
1000000,8600,0,9
1000000,8815,0,8
1000000,8784,0,11
1000000,8806,0,12
1000000,8756,0,10
1000000,9047,0,12
1000000,8786,0,3
1000000,8706,0,10
1000000,8862,0,15
1000000,8983,0,9
1000000,8751,0,15
1000000,8742,0,10
1000000,8724,0,12
1000000,8697,0,12
1000000,8888,0,9
1000000,8936,0,15
1000000,8714,0,16
