total_shots,num_flagged,num_discarded,num_incorrect
1000000,8630,0,5
1000000,8746,0,12
1000000,8718,0,14
1000000,8523,0,13
1000000,8521,0,10
1000000,8678,0,12
1000000,8463,0,15
1000000,8613,0,7
1000000,8567,0,8
1000000,8840,0,7
1000000,8736,0,5
1000000,8810,0,15
1000000,8535,0,17
1000000,8678,0,9
1000000,8662,0,12
1000000,8701,0,9
1000000,8618,0,10
1000000,8653,0,10
1000000,8661,0,5
1000000,8693,0,9
1000000,8775,0,13
1000000,8674,0,12
1000000,8527,0,10
1000000,8649,0,15
1000000,8693,0,12
1000000,8556,0,7
1000000,8584,0,7
1000000,8727,0,11
1000000,8731,0,10
1000000,8758,0,9
1000000,8755,0,16
1000000,8540,0,17
1000000,8583,0,11
1000000,8706,0,13
1000000,8617,0,11
1000000,8641,0,11
1000000,8515,0,14
1000000,8753,0,11
1000000,8650,0,9
1000000,8725,0,14
1000000,8596,0,10
1000000,8682,0,12
1000000,8627,0,11
1000000,8631,0,8
1000000,8639,0,14
1000000,8671,0,16
1000000,8781,0,10
1000000,8778,0,8
1000000,8729,0,8
1000000,8772,0,9
1000000,8595,0,13
1000000,8620,0,9
1000000,8735,0,11
1000000,8728,0,14
1000000,8527,0,10
1000000,8594,0,8
1000000,8697,0,9
1000000,8795,0,12
1000000,8560,0,10
1000000,8731,0,7
1000000,8708,0,11
1000000,8658,0,12
1000000,8660,0,7
1000000,8780,0,7
1000000,8497,0,10
1000000,8693,0,10
1000000,8602,0,6
1000000,8531,0,11
1000000,8694,0,13
1000000,8603,0,8
1000000,8642,0,15
1000000,8593,0,7
1000000,8539,0,9
1000000,8742,0,18
1000000,8429,0,4
1000000,8765,0,11
1000000,8726,0,9
1000000,8637,0,16
1000000,8639,0,12
1000000,8577,0,6
1000000,8553,0,17
1000000,8768,0,10
1000000,8787,0,17
1000000,8733,0,9
1000000,8704,0,11
1000000,8679,0,10
1000000,8597,0,12
1000000,8629,0,8
1000000,8702,0,9
1000000,8769,0,17
1000000,8620,0,10
1000000,8685,0,9
1000000,8680,0,13
1000000,8588,0,16
1000000,8708,0,16
1000000,8622,0,14
1000000,8633,0,12
1000000,8542,0,14
1000000,8599,0,11
1000000,8639,0,7
1000000,8766,0,16
1000000,8716,0,17
1000000,8702,0,14
1000000,8619,0,10
1000000,8705,0,18
1000000,8710,0,10
1000000,8663,0,5
1000000,8857,0,9
1000000,8821,0,15
1000000,8501,0,12
1000000,8742,0,9
1000000,8662,0,10
1000000,8881,0,8
1000000,8709,0,7
1000000,8557,0,13
1000000,8919,0,9
1000000,8708,0,9
1000000,8671,0,9
1000000,8756,0,15
1000000,8483,0,18
1000000,8664,0,13
1000000,8662,0,7
1000000,8755,0,13
1000000,8462,0,15
1000000,8619,0,14
1000000,8706,0,14
1000000,8725,0,12
1000000,8751,0,13
1000000,8809,0,13
1000000,8642,0,16
1000000,8715,0,17
1000000,8556,0,9
1000000,8654,0,15
1000000,8662,0,10
1000000,8506,0,17
1000000,8631,0,11
1000000,8600,0,15
1000000,8637,0,12
1000000,8562,0,10
1000000,8924,0,10
1000000,8668,0,13
1000000,8565,0,10
1000000,8699,0,6
1000000,8801,0,16
1000000,8589,0,6
1000000,8793,0,7
1000000,8649,0,15
1000000,8544,0,9
1000000,8567,0,9
1000000,8770,0,12
