total_shots,num_flagged,num_discarded,num_incorrect
1000000,8707,0,18
1000000,8591,0,23
1000000,8526,0,19
1000000,8534,0,16
1000000,8751,0,15
1000000,8603,0,9
1000000,8762,0,15
1000000,8724,0,27
1000000,8846,0,23
1000000,8598,0,9
1000000,8512,0,16
1000000,8716,0,22
1000000,8578,0,13
1000000,8782,0,19
1000000,8775,0,16
1000000,8597,0,16
1000000,8746,0,12
1000000,8717,0,11
1000000,8733,0,22
1000000,8843,0,17
1000000,8535,0,13
1000000,8609,0,16
1000000,8756,0,12
1000000,8572,0,14
1000000,8745,0,19
1000000,8672,0,25
1000000,8665,0,21
1000000,8626,0,15
1000000,8693,0,19
1000000,8739,0,21
1000000,8680,0,16
1000000,8751,0,14
1000000,8604,0,12
1000000,8634,0,17
1000000,8724,0,15
1000000,8679,0,20
1000000,8579,0,13
1000000,8745,0,21
1000000,8647,0,14
1000000,8649,0,11
1000000,8729,0,21
1000000,8717,0,15
1000000,8516,0,13
1000000,8728,0,16
1000000,8640,0,14
1000000,8562,0,17
1000000,8755,0,10
1000000,8666,0,9
1000000,8703,0,17
1000000,8652,0,15
1000000,8687,0,15
1000000,8626,0,14
1000000,8738,0,13
1000000,8669,0,18
1000000,8621,0,17
1000000,8698,0,22
1000000,8488,0,16
1000000,8706,0,25
1000000,8726,0,29
1000000,8812,0,20
1000000,8571,0,16
1000000,8709,0,15
1000000,8720,0,25
1000000,8784,0,17
1000000,8600,0,12
1000000,8705,0,12
1000000,8676,0,12
1000000,8704,0,16
1000000,8600,0,15
1000000,8734,0,18
1000000,8621,0,13
1000000,8652,0,21
1000000,8630,0,12
1000000,8597,0,20
1000000,8634,0,14
1000000,8671,0,15
1000000,8639,0,16
1000000,8424,0,26
1000000,8772,0,21
1000000,8693,0,19
1000000,8678,0,15
1000000,8629,0,16
1000000,8529,0,17
1000000,8499,0,18
1000000,8599,0,20
1000000,8573,0,13
1000000,8745,0,18
1000000,8641,0,22
1000000,8618,0,13
1000000,8719,0,27
1000000,8726,0,19
1000000,8694,0,19
1000000,8677,0,16
1000000,8619,0,20
1000000,8537,0,12
1000000,8581,0,13
1000000,8754,0,15
1000000,8726,0,11
1000000,8619,0,16
1000000,8692,0,13
1000000,8840,0,21
1000000,8663,0,14
1000000,8697,0,16
1000000,8696,0,19
1000000,8650,0,21
1000000,8584,0,21
1000000,8654,0,19
1000000,8649,0,22
1000000,8602,0,16
1000000,8739,0,16
1000000,8781,0,8
1000000,8683,0,25
1000000,8514,0,19
1000000,8753,0,13
1000000,8652,0,21
1000000,8626,0,26
1000000,8758,0,20
1000000,8616,0,23
1000000,8683,0,21
1000000,8709,0,14
1000000,8616,0,19
1000000,8677,0,16
1000000,8571,0,16
1000000,8695,0,18
1000000,8500,0,21
1000000,8669,0,14
1000000,8790,0,17
1000000,8573,0,21
1000000,8682,0,14
1000000,8691,0,13
1000000,8674,0,16
1000000,8711,0,21
1000000,8702,0,12
1000000,8648,0,14
1000000,8753,0,15
1000000,8639,0,15
1000000,8674,0,18
1000000,8730,0,13
1000000,8488,0,19
1000000,8704,0,15
1000000,8686,0,19
1000000,8801,0,19
1000000,8756,0,18
1000000,8786,0,16
1000000,8692,0,19
1000000,8643,0,11
1000000,8778,0,16
1000000,8563,0,21
1000000,8596,0,18
1000000,8828,0,21
1000000,8862,0,25
1000000,8736,0,14
1000000,8676,0,24
1000000,8612,0,19
1000000,8741,0,10
1000000,8709,0,20
1000000,8624,0,19
1000000,8570,0,19
1000000,8700,0,16
1000000,8573,0,16
1000000,8665,0,19
1000000,8662,0,19
1000000,8608,0,19
1000000,8607,0,13
1000000,8595,0,18
1000000,8613,0,14
1000000,8468,0,15
1000000,8549,0,14
1000000,8703,0,16
1000000,8578,0,10
1000000,8736,0,16
1000000,8828,0,11
1000000,8663,0,14
1000000,8648,0,11
1000000,8650,0,15
1000000,8711,0,11
1000000,8715,0,14
1000000,8684,0,19
1000000,8618,0,14
1000000,8637,0,18
1000000,8640,0,12
1000000,8831,0,7
1000000,8690,0,21
1000000,8656,0,16
1000000,8686,0,14
1000000,8642,0,19
1000000,8551,0,20
1000000,8539,0,16
1000000,8637,0,13
1000000,8663,0,17
1000000,8571,0,22
1000000,8611,0,19
1000000,8708,0,19
1000000,8778,0,14
1000000,8712,0,19
1000000,8706,0,25
1000000,8604,0,21
1000000,8639,0,12
1000000,8623,0,20
1000000,8522,0,13
1000000,8551,0,13
1000000,8806,0,19
1000000,8700,0,10
1000000,8661,0,22
1000000,8775,0,13
1000000,8707,0,13
1000000,8670,0,18
1000000,8625,0,16
1000000,8591,0,14
1000000,8676,0,17
1000000,8618,0,12
1000000,8674,0,22
1000000,8609,0,15
1000000,8845,0,10
1000000,8853,0,19
1000000,8675,0,12
1000000,8549,0,11
1000000,8701,0,16
1000000,8571,0,17
1000000,8570,0,22
1000000,8694,0,16
1000000,8758,0,14
1000000,8721,0,23
1000000,8661,0,14
1000000,8570,0,17
1000000,8673,0,15
1000000,8704,0,11
1000000,8686,0,15
1000000,8655,0,15
1000000,8694,0,8
1000000,8439,0,20
1000000,8751,0,19
1000000,8591,0,16
1000000,8807,0,17
1000000,8499,0,13
1000000,8634,0,19
1000000,8679,0,17
1000000,8525,0,19
1000000,8795,0,15
1000000,8572,0,20
1000000,8708,0,17
