total_shots,num_flagged,num_discarded,num_incorrect
1000000,8706,0,18
1000000,8755,0,12
1000000,8604,0,16
1000000,8787,0,19
1000000,8865,0,19
1000000,8681,0,16
1000000,8724,0,17
1000000,8762,0,17
1000000,8744,0,21
1000000,8757,0,19
1000000,8772,0,20
1000000,8697,0,15
1000000,8754,0,25
1000000,8648,0,15
1000000,8742,0,17
1000000,8868,0,16
1000000,8774,0,17
1000000,8677,0,14
1000000,8826,0,11
1000000,8748,0,19
1000000,8786,0,26
1000000,8923,0,10
1000000,8715,0,12
1000000,8849,0,8
1000000,8630,0,19
1000000,8817,0,21
1000000,8606,0,18
1000000,8765,0,11
1000000,8801,0,9
1000000,8836,0,13
1000000,8893,0,18
1000000,8551,0,12
1000000,8778,0,10
1000000,8581,0,12
1000000,8790,0,13
1000000,8801,0,22
1000000,8749,0,19
1000000,8930,0,14
1000000,8771,0,20
1000000,8695,0,20
1000000,8888,0,13
1000000,8520,0,12
1000000,8766,0,20
1000000,8588,0,13
1000000,8777,0,21
1000000,8721,0,14
1000000,8684,0,13
1000000,8678,0,12
1000000,8590,0,10
1000000,8751,0,14
1000000,8707,0,28
1000000,9039,0,7
1000000,8687,0,13
1000000,8770,0,22
1000000,8614,0,13
1000000,8754,0,23
1000000,8661,0,18
1000000,8761,0,15
1000000,8643,0,13
1000000,8798,0,9
1000000,8711,0,12
1000000,8539,0,21
1000000,8738,0,12
1000000,8728,0,13
1000000,8646,0,20
1000000,8720,0,15
1000000,8712,0,8
1000000,8813,0,12
1000000,8787,0,12
1000000,8673,0,17
1000000,8751,0,13
1000000,8747,0,13
1000000,8902,0,23
1000000,8535,0,22
1000000,8671,0,14
1000000,8773,0,16
1000000,8710,0,24
1000000,8627,0,18
1000000,8799,0,13
1000000,8885,0,13
1000000,8676,0,16
1000000,8999,0,17
1000000,8755,0,22
1000000,8651,0,20
1000000,8753,0,15
1000000,8585,0,14
1000000,8731,0,20
1000000,8770,0,13
1000000,8923,0,16
1000000,8711,0,14
1000000,8952,0,13
1000000,8662,0,23
1000000,8706,0,16
1000000,8841,0,14
1000000,8877,0,17
1000000,8723,0,14
1000000,8820,0,9
1000000,8617,0,17
1000000,8781,0,19
1000000,8750,0,12
1000000,8665,0,12
1000000,8739,0,17
1000000,8771,0,20
1000000,8669,0,19
1000000,8737,0,23
1000000,8846,0,20
1000000,8775,0,24
1000000,8839,0,16
1000000,8796,0,14
1000000,8543,0,15
1000000,8655,0,20
1000000,8673,0,18
1000000,8860,0,22
1000000,8872,0,18
1000000,8965,0,13
1000000,8797,0,25
1000000,8677,0,11
1000000,8844,0,18
1000000,8695,0,11
1000000,8749,0,17
1000000,8734,0,16
1000000,8771,0,11
1000000,8865,0,16
1000000,8643,0,25
1000000,8835,0,15
1000000,8699,0,10
1000000,8777,0,18
1000000,8815,0,19
1000000,8713,0,19
1000000,8739,0,18
1000000,8782,0,17
1000000,8685,0,14
1000000,8641,0,21
1000000,8669,0,15
1000000,8777,0,16
1000000,8712,0,9
1000000,8724,0,14
1000000,8726,0,19
1000000,8856,0,24
1000000,8634,0,17
1000000,8668,0,7
1000000,8780,0,20
1000000,8827,0,18
1000000,8748,0,20
1000000,8590,0,15
1000000,8751,0,10
1000000,8738,0,16
1000000,8843,0,24
1000000,8945,0,18
1000000,8661,0,22
1000000,8858,0,16
1000000,8694,0,15
1000000,8644,0,15
1000000,8635,0,18
1000000,8781,0,27
1000000,8465,0,19
1000000,8634,0,17
1000000,8862,0,12
1000000,8753,0,24
1000000,8796,0,12
1000000,8891,0,7
1000000,8903,0,15
1000000,8819,0,15
1000000,8787,0,27
1000000,8715,0,11
1000000,8777,0,14
1000000,8840,0,11
1000000,8797,0,13
1000000,8704,0,12
1000000,8780,0,27
1000000,8778,0,15
1000000,8790,0,10
1000000,8827,0,15
1000000,8764,0,8
1000000,8779,0,21
1000000,8970,0,17
1000000,8875,0,15
1000000,8922,0,19
1000000,8720,0,21
1000000,8757,0,16
1000000,8777,0,17
1000000,8785,0,20
1000000,8777,0,15
1000000,8710,0,16
1000000,8864,0,24
1000000,8805,0,11
1000000,8774,0,15
1000000,8851,0,16
1000000,8651,0,18
1000000,8715,0,14
1000000,8864,0,28
1000000,8791,0,14
1000000,8763,0,13
1000000,8762,0,24
1000000,8716,0,17
1000000,8739,0,16
1000000,8929,0,13
1000000,8782,0,18
1000000,8780,0,16
1000000,8590,0,10
1000000,8655,0,19
1000000,8787,0,15
1000000,8859,0,13
1000000,8900,0,16
1000000,8908,0,14
1000000,8689,0,17
1000000,8780,0,17
1000000,8747,0,19
1000000,8868,0,15
1000000,8814,0,14
1000000,8677,0,17
1000000,8681,0,13
1000000,8733,0,19
1000000,8749,0,15
1000000,8766,0,14
1000000,8905,0,13
1000000,8710,0,17
1000000,8956,0,15
1000000,8784,0,20
1000000,8637,0,12
1000000,8632,0,19
1000000,8694,0,20
1000000,8569,0,13
1000000,8650,0,9
1000000,8704,0,25
1000000,8754,0,21
1000000,8639,0,16
1000000,8761,0,9
1000000,8804,0,7
1000000,8944,0,21
1000000,8713,0,16
1000000,8651,0,13
1000000,8830,0,14
1000000,8655,0,18
1000000,8665,0,12
1000000,8659,0,16
1000000,8743,0,9
1000000,8639,0,20
1000000,8816,0,26
1000000,8702,0,26
1000000,8601,0,15
1000000,8706,0,16
1000000,8757,0,17
1000000,8707,0,15
1000000,8684,0,14
1000000,8787,0,16
1000000,8723,0,13
1000000,8699,0,13
1000000,8751,0,14
1000000,8708,0,14
1000000,8661,0,18
1000000,8893,0,18
1000000,8778,0,15
1000000,8715,0,15
1000000,8687,0,16
1000000,8681,0,10
1000000,8876,0,12
1000000,8729,0,11
1000000,8648,0,11
1000000,8762,0,14
1000000,8948,0,13
1000000,8729,0,10
1000000,8788,0,14
1000000,8638,0,17
1000000,8760,0,22
1000000,8678,0,11
1000000,8841,0,22
1000000,8631,0,21
1000000,8699,0,19
1000000,8645,0,15
1000000,8777,0,14
1000000,8813,0,9
1000000,8684,0,16
1000000,8708,0,13
1000000,8875,0,12
1000000,8898,0,13
1000000,8856,0,14
1000000,8668,0,17
1000000,8969,0,16
1000000,8825,0,20
1000000,8807,0,18
1000000,8702,0,11
1000000,8849,0,14
1000000,8853,0,15
1000000,8735,0,19
1000000,8653,0,16
1000000,8751,0,18
1000000,8646,0,15
1000000,8706,0,21
1000000,8827,0,16
1000000,8826,0,16
1000000,8645,0,10
1000000,8866,0,9
1000000,8832,0,15
1000000,8612,0,13
1000000,8693,0,18
1000000,8576,0,15
1000000,8773,0,14
1000000,8824,0,17
1000000,8588,0,21
1000000,8720,0,17
1000000,8723,0,21
1000000,8798,0,18
1000000,8626,0,6
1000000,8914,0,12
1000000,8707,0,18
1000000,8862,0,10
1000000,8803,0,16
1000000,8911,0,12
1000000,8719,0,12
1000000,8646,0,10
1000000,8596,0,22
1000000,8823,0,19
1000000,8687,0,14
1000000,8781,0,21
1000000,8707,0,10
1000000,8906,0,17
1000000,8952,0,17
1000000,8636,0,18
1000000,8840,0,16
1000000,8750,0,18
1000000,8926,0,18
1000000,8585,0,21
1000000,8728,0,25
1000000,8620,0,16
1000000,8598,0,17
1000000,8790,0,14
1000000,8777,0,16
1000000,8857,0,14
1000000,8791,0,15
1000000,8656,0,16
1000000,8726,0,20
1000000,8625,0,8
1000000,8817,0,14
1000000,8728,0,14
1000000,8796,0,13
1000000,8846,0,9
1000000,8745,0,17
1000000,8810,0,15
1000000,8666,0,20
1000000,8921,0,18
1000000,8814,0,17
1000000,8906,0,13
1000000,8929,0,15
1000000,8725,0,15
1000000,8825,0,7
1000000,8821,0,13
1000000,8771,0,15
1000000,8913,0,10
1000000,8868,0,12
1000000,8691,0,20
1000000,8680,0,16
1000000,8553,0,19
1000000,8788,0,19
1000000,8719,0,20
1000000,8784,0,20
1000000,8732,0,18
1000000,8873,0,16
1000000,8644,0,13
1000000,8700,0,22
1000000,8724,0,11
1000000,8964,0,15
1000000,8958,0,11
1000000,8812,0,12
1000000,8861,0,16
1000000,8746,0,19
1000000,8870,0,13
1000000,8803,0,13
1000000,8715,0,14
1000000,8824,0,12
1000000,8611,0,21
1000000,8777,0,15
1000000,8778,0,14
1000000,8807,0,19
1000000,8769,0,16
1000000,8791,0,14
1000000,8666,0,19
1000000,8718,0,14
1000000,8674,0,21
1000000,8651,0,14
1000000,8827,0,18
1000000,8702,0,19
1000000,8646,0,24
1000000,8832,0,21
1000000,8780,0,13
1000000,8790,0,14
1000000,8690,0,17
1000000,8768,0,20
1000000,8869,0,18
1000000,8608,0,14
1000000,8754,0,9
1000000,8866,0,17
1000000,8790,0,14
1000000,8793,0,23
1000000,8655,0,13
1000000,8677,0,14
1000000,8801,0,20
1000000,8788,0,16
1000000,8718,0,25
1000000,8606,0,22
1000000,8742,0,17
1000000,8941,0,9
1000000,8659,0,13
1000000,8873,0,20
1000000,8835,0,20
1000000,8617,0,13
1000000,8825,0,20
1000000,8734,0,15
1000000,8794,0,10
1000000,8745,0,17
1000000,8818,0,17
1000000,8751,0,15
1000000,8697,0,18
1000000,8857,0,13
